iter	Passed	Remaining
0	0	98
1	1	87
2	2	85
3	3	80
4	4	78
5	4	77
6	5	77
7	6	77
8	7	75
9	8	74
10	9	73
11	9	71
12	10	70
13	11	69
14	12	68
15	12	68
16	13	68
17	14	67
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	61
24	20	60
25	21	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	28	49
36	28	48
37	29	48
38	30	47
39	30	46
40	31	45
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	37	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	53	18
74	54	18
75	55	17
76	55	16
77	56	15
78	57	15
79	58	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	69	3
95	70	2
96	71	2
97	71	1
98	72	0
99	73	0
